GO:0065007= GO:0050789,GO:0065008
GO:0050789= GO:0019222,GO:0048518,GO:0048519,GO:0050794
GO:0065008= GO:0042592
GO:0019222= GO:0009889,GO:0031323,GO:0051171,GO:0060255,GO:0080090
GO:0048518= GO:0009893,GO:0048522
GO:0048519= GO:0009892,GO:0048523
GO:0050794= GO:0007165
GO:0042592= GO:0019725
GO:0009889= GO:0010556
GO:0031323= GO:0031326,GO:0032268
GO:0051171= GO:0019219,GO:0051246
GO:0060255= GO:0010468
GO:0009893= GO:0010604,GO:0031325,GO:0051173
GO:0007165= GO:0035556
GO:0010556= GO:2000112,GO:2001141
GO:0019219= GO:0045935,GO:0051252
GO:2001141= GO:1903506
GO:0045935= GO:0051254
GO:1903506= GO:0006355
GO:0006355= GO:0006357
